name,score,type,episodes,ranking,duration,PG_13,R,PG,R_plus,G,manga,book,music,game,other,original
Time Bokan,6.52,TV,61,5817,24,0,0,0,0,1,0,0,0,0,0,1
Kamen Rider Den-O: Imagin Anime,6.58,OVA,10,5483,5,0,0,0,0,1,0,0,0,0,1,0
Mobile Suit Gundam 00 Second Season,8.11,TV,25,403,24,0,1,0,0,0,0,0,0,0,0,1
Initial D Battle Stage 2,7.65,OVA,1,1159,NA,1,0,0,0,0,1,0,0,0,0,0
Magnerobo Ga-Keen,6.25,TV,39,7137,24,1,0,0,0,0,0,0,0,0,0,1
Karakuri Kiden: Hiwou Senki,6.48,TV,26,5989,25,0,0,0,0,0,0,0,0,0,0,1
Personal Computer Travel Tanteidan,6.12,TV,26,7711,24,0,0,1,0,0,0,0,0,0,0,1
Takoyaki Mant-Man,6.51,TV,77,12358,24,0,0,1,0,0,0,1,0,0,0,0
Jarinko Chie (TV),6.29,TV,64,6951,25,0,0,0,0,1,1,0,0,0,0,0
Mahou Sensei Negima!: Introduction Film,6.66,OVA,3,5083,8,0,0,0,1,0,1,0,0,0,0,0
Blue Seed 1.5,6.47,OVA,2,6055,30,0,1,0,0,0,0,0,0,0,0,0
Tales of Symphonia The Animation: Kratos-sensei no Private Lesson,6.73,Special,1,4742,4,0,0,0,0,1,0,0,0,1,0,0
Shakugan no Shana-tan II (Second),7.21,Special,3,2717,6,1,0,0,0,0,0,0,0,0,0,0
Kannagi,7.32,TV,13,2265,23,1,0,0,0,0,1,0,0,0,0,0
Armored Core: Fort Tower Song,4.78,ONA,1,10754,1,1,0,0,0,0,0,0,0,0,0,0
Chocolate Underground,6.15,ONA,13,7544,5,0,0,1,0,0,0,1,0,0,0,0
Nodame Cantabile: Nodame to Chiaki no Umi Monogatari,7.39,Special,1,1924,15,0,0,0,0,1,1,0,0,0,0,0
Dragoon,5.78,OVA,3,8909,30,0,0,0,1,0,0,0,0,1,0,0
Kagaku Kyuujo-tai TechnoVoyager,6.1,TV,18,7797,25,1,0,0,0,0,0,0,0,0,0,0
Yu☆Gi☆Oh! 5D's,7.42,TV,154,1852,24,1,0,0,0,0,1,0,0,0,0,0
Ikuze! Gen-san,6.51,ONA,24,14597,9,0,0,0,0,1,0,0,0,0,0,0
Tetsuwan Birdy Decode,7.46,TV,13,1701,24,1,0,0,0,0,1,0,0,0,0,0
Uchi no 3 Shimai,6.51,TV,102,12641,23,0,0,0,0,1,0,0,0,0,1,0
To Heart Omake,6.25,Special,6,7118,5,1,0,0,0,0,0,0,0,0,0,0
Suna no Bara: Yuki no Mokushiroku,6.27,OVA,1,7016,44,0,0,0,1,0,1,0,0,0,0,0
Mahou Shoujo-tai Arusu the Adventure,6.77,OVA,6,4600,22,1,0,0,0,0,0,0,0,0,0,1
Dream Hunter Rem,6.14,OVA,4,7607,40,0,1,0,0,0,0,0,0,0,0,1
Paul no Miracle Daisakusen,6.45,TV,50,6126,25,0,0,0,0,1,0,0,0,0,0,1
Choujin Locke: Lord Leon,6.1,OVA,3,7789,29,1,0,0,0,0,1,0,0,0,0,0
School Rumble San Gakki,7.32,OVA,2,2264,25,1,0,0,0,0,1,0,0,0,0,0
Seiyou Kottou Yougashiten: Antique,7.06,TV,12,3386,22,1,0,0,0,0,1,0,0,0,0,0
Kitty's Paradise,6.22,TV,16,7260,23,0,0,0,0,1,0,0,0,0,0,1
Sanrio Anime Sekai Meisaku Gekijou,6.09,TV,13,7828,24,0,0,0,0,1,0,0,0,0,0,0
Asobou! Hello Kitty,5.99,TV,26,8278,25,0,0,0,0,1,0,0,0,0,0,0
Slayers Revolution,7.29,TV,13,2378,23,1,0,0,0,0,0,1,0,0,0,0
The iDOLM@STER Live For You!,6.21,OVA,1,7292,17,1,0,0,0,0,0,0,0,1,0,0
Cowboy Bebop: Yose Atsume Blues,7.44,Special,1,1772,27,0,1,0,0,0,0,0,0,0,0,1
Zettai Karen Children,7.34,TV,51,2182,24,1,0,0,0,0,1,0,0,0,0,0
Golgo 13 (TV),7.54,TV,50,1446,24,0,0,0,1,0,1,0,0,0,0,0
Hanappe Bazooka,5.48,OVA,1,9722,43,0,0,0,1,0,1,0,0,0,0,0
Youkai Ningen Bem,6.07,TV,26,7969,25,1,0,0,0,0,0,0,0,0,0,1
Mafukiden: Pandarian,6.13,TV,26,7675,25,0,0,0,0,1,0,0,0,0,0,0
Kouchuu Ouja Mushiking: Mori no Tami no Densetsu,6.69,TV,52,4949,22,0,0,0,0,1,0,0,0,0,0,0
Net Ghost Pipopa,6.75,TV,51,4656,24,0,0,0,0,1,0,0,0,0,0,1
Medarot Damashii,6.65,TV,39,5159,20,0,0,0,0,1,0,0,0,1,0,0
Tennis no Ouji-sama: Zenkoku Taikai-hen - Final,8.01,OVA,7,526,23,1,0,0,0,0,1,0,0,0,0,0
Norimono Oukoku BuBu ChaCha,6.68,TV,26,5010,20,0,0,0,0,1,0,0,0,0,0,1
Masuda Kousuke Gekijou Gag Manga Biyori 3,7.1,TV,12,3200,5,1,0,0,0,0,1,0,0,0,0,0
Makyou Gaiden Le Deus,5.57,OVA,1,9524,48,1,0,0,0,0,0,0,0,0,0,0
"Clannad: Mou Hitotsu no Sekai, Tomoyo-hen",8,Special,1,534,25,1,0,0,0,0,0,1,0,0,0,0
Grimm Meisaku Gekijou,7.4,TV,24,1895,24,0,0,0,0,1,0,0,0,0,1,0
Grimm Masterpiece Theater II,7.33,TV,23,2216,20,0,0,0,0,1,0,0,0,0,1,0
Musashi no Ken,7.16,TV,72,2954,24,0,0,0,0,1,1,0,0,0,0,0
Sekirei,7.13,TV,12,3066,23,0,0,0,1,0,1,0,0,0,0,0
Tytania,6.84,TV,26,4268,24,1,0,0,0,0,0,1,0,0,0,0
Shin Megami Tensei Devil Children,6.27,TV,50,7012,23,0,0,1,0,0,0,0,0,1,0,0
Shin Megami Tensei Devil Children: Light & Dark,6.42,TV,52,6331,24,0,0,1,0,0,0,0,0,0,0,0
Pucca (ONA),6.58,ONA,46,5496,2,0,0,0,0,1,0,0,0,0,0,0
Black Jack (TV): Hizouban Specials,7.09,Special,2,3247,23,0,0,0,0,1,0,0,0,0,0,0
Kyouryuu Daisensou Izenborg,6.6,TV,39,5378,24,0,0,0,0,1,0,0,0,0,0,1
"Arano no Sakebi Koe: Hoero, Buck",6.53,Special,1,5728,NA,0,0,1,0,0,0,1,0,0,0,0
Super Robot Taisen OG: Divine Wars - Sorezore no Michi,6.79,Special,1,4466,29,1,0,0,0,0,0,0,0,1,0,0
Kyou no 5 no 2 Kagai Jugyou: Mizukake,6.95,Special,1,3826,5,1,0,0,0,0,1,0,0,0,0,0
Kyou kara Maou! 3rd Series,7.81,TV,39,814,24,1,0,0,0,0,0,1,0,0,0,0
Natsume Yuujinchou,8.33,TV,13,204,24,1,0,0,0,0,1,0,0,0,0,0
Kaibutsu Oujo: Konsui Oujo,7.01,Special,1,3622,23,1,0,0,0,0,1,0,0,0,0,0
Wonder Beat Scramble,6.54,TV,26,5707,22,1,0,0,0,0,0,0,0,0,0,0
Yonimo Osoroshii Grimm Douwa,6.07,OVA,3,7928,20,0,1,0,0,0,0,0,0,0,1,0
Muka Muka Paradise,6.84,TV,51,4279,25,0,0,0,0,1,0,0,0,0,0,0
Michiko to Hatchin,7.85,TV,22,744,22,0,1,0,0,0,0,0,0,0,0,1
Wonder 3,6.51,TV,52,12854,23,0,0,0,0,1,0,0,0,0,0,0
Batman: Gotham Knight,6.98,OVA,6,3711,12,1,0,0,0,0,0,0,0,0,1,0
Urarochi Diamond,5.7,OVA,1,9159,40,1,0,0,0,0,0,0,0,0,0,0
Wan Wan Celepoo Soreyuke! Tetsunoshin,6.51,TV,51,12779,23,0,0,0,0,1,0,0,0,0,0,1
Oval x Over,5.74,OVA,1,9050,8,1,0,0,0,0,0,0,0,0,1,0
Mini Moni the TV,5.49,TV,15,9726,1,0,0,0,0,1,0,0,0,0,0,0
Mahou no Mako-chan,6.3,TV,48,6892,24,0,0,0,0,1,0,0,0,0,0,0
Onegai My Melody: Kuru Kuru Shuffle!,7.2,TV,52,2783,22,0,0,1,0,0,0,0,0,0,0,0
Juushin Liger,6.53,TV,43,5754,25,1,0,0,0,0,0,0,0,0,0,0
Meimon! Daisan Yakyuubu,6.51,TV,40,15500,24,1,0,0,0,0,0,0,0,0,0,0
Petit Eva: Evangelion@School,5.64,ONA,24,9327,3,0,0,0,0,1,0,0,0,0,0,1
Twin Bee Paradise,6.51,OVA,4,12653,30,0,0,0,0,1,0,0,0,1,0,0
Wakakusa no Yon Shimai,6.42,TV,26,6351,23,0,0,0,0,1,0,1,0,0,0,0
"Naruto: Shippuuden - Shippuu! ""Konoha Gakuen"" Den",7.15,Special,1,2965,8,1,0,0,0,0,0,0,0,0,0,0
Penguin Musume♥Heart,6.74,ONA,22,4706,11,0,0,0,1,0,1,0,0,0,0,0
Chiisana Penguin Lolo no Bouken,7.36,OVA,3,2056,30,0,0,0,0,1,0,0,0,0,0,1
Body Jack: Tanoshii Yutai Ridatsu,5.27,OVA,1,10177,35,0,0,0,1,0,0,0,0,0,0,1
Cosmos Pink Shock,5.5,OVA,1,9662,35,1,0,0,0,0,0,0,0,0,0,1
Blade of the Immortal,6.82,TV,13,4340,24,0,1,0,0,0,1,0,0,0,0,0
Time Bokan Series: Yattodetaman,6.46,TV,52,6115,20,1,0,0,0,0,0,0,0,0,0,0
Ichigo Mashimaro Episode 0,7.07,Special,1,3333,4,1,0,0,0,0,1,0,0,0,0,0
Taiho Shichau zo: Nagisa no Koutsuu Yuudou,7.08,Special,1,3311,24,1,0,0,0,0,1,0,0,0,0,0
Seto no Hanayome OVA,7.88,OVA,2,699,30,1,0,0,0,0,1,0,0,0,0,0
To Heart 2 AD,6.88,OVA,2,4131,29,1,0,0,0,0,0,1,0,0,0,0
Shigofumi Picture Drama,6.51,Special,7,5835,5,1,0,0,0,0,0,0,0,0,0,1
Wanna-Be's,5.13,OVA,1,10427,45,1,0,0,0,0,0,0,0,0,0,0
Bounen no Xamdou,7.69,ONA,26,1055,24,1,0,0,0,0,0,0,0,0,0,1
Clannad: After Story,8.96,TV,24,13,24,1,0,0,0,0,0,1,0,0,0,0
Darker than Black: Kuro no Keiyakusha - Sakura no Hana no Mankai no Shita,7.57,Special,1,1356,23,0,1,0,0,0,0,0,0,0,0,1
Uchuu Taitei God Sigma,6.37,TV,50,6539,25,1,0,0,0,0,0,0,0,0,0,0
Chrome Shelled Regios,7.35,TV,24,2118,24,0,1,0,0,0,0,1,0,0,0,0
Megumi,6.03,ONA,1,8123,25,0,0,0,0,1,0,0,0,0,1,0
Mahou Sensei Negima!: Shiroki Tsubasa Ala Alba,7.46,OVA,3,1698,30,1,0,0,0,0,1,0,0,0,0,0
Fuyu no Sonata,7.4,TV,26,1892,25,1,0,0,0,0,0,0,0,0,1,0
Harukanaru Toki no Naka de 3: Kurenai no Tsuki Special,6.62,Special,1,5297,7,0,0,0,0,1,0,1,0,0,0,0
Popolocrois Monogatari,7.04,TV,25,3502,23,0,0,1,0,0,0,0,0,1,0,0
Hayate no Gotoku!!,7.73,TV,25,960,24,1,0,0,0,0,1,0,0,0,0,0
Kodomo no Jikan: Ni Gakki,7.11,OVA,3,3175,23,0,1,0,0,0,1,0,0,0,0,0
Ikkitousen: Great Guardians,6.78,TV,12,4549,24,0,0,0,1,0,1,0,0,0,0,0
Blue Dragon: Tenkai no Shichi Ryuu,6.56,TV,51,5554,20,0,0,1,0,0,0,0,0,1,0,0
Koutetsu Jeeg,7.01,TV,46,3618,22,1,0,0,0,0,0,0,0,0,0,0
Entaku no Kishi Monogatari: Moero Arthur,6.32,TV,30,6759,24,1,0,0,0,0,0,0,0,0,0,0
Dirty Pair OVA,7.11,OVA,10,3159,25,1,0,0,0,0,0,1,0,0,0,0
Mokke Specials,6.91,Special,2,4010,23,0,0,1,0,0,0,0,0,0,0,0
KimiKiss Pure Rouge: Love Fighter,6.97,Special,1,3746,24,1,0,0,0,0,0,1,0,0,0,0
Tetsujin 28-gou (1980),6.64,TV,51,5207,23,0,0,0,0,1,0,0,0,0,0,0
Mission-E,6.48,TV,12,6001,24,0,0,1,0,0,0,0,0,0,0,1
Hareluya II Boy,6.33,TV,25,6716,23,1,0,0,0,0,1,0,0,0,0,0
Saishuu Shiken Kujira Progressive,6.1,OVA,1,7823,30,1,0,0,0,0,0,1,0,0,0,0
Rosario to Vampire Capu2,6.98,TV,13,3721,24,0,0,0,1,0,1,0,0,0,0,0
Toradora!,8.24,TV,25,265,24,1,0,0,0,0,0,1,0,0,0,0
Mobile Suit Gundam MS IGLOO 2: Gravity of the Battlefront,6.74,OVA,3,4733,30,1,0,0,0,0,0,0,0,0,0,0
Ginga Senpuu Braiger,6.68,TV,39,5004,23,1,0,0,0,0,0,0,0,0,0,1
Ginga Reppuu Baxingar,6.31,TV,39,6843,25,1,0,0,0,0,0,0,0,0,0,1
Ginga Shippuu Sasuraiger,6.33,TV,43,6745,25,1,0,0,0,0,0,0,0,0,0,1
Explorer Woman Ray,5.39,OVA,2,9966,30,1,0,0,0,0,0,0,0,0,0,0
Koihime†Musou,6.76,TV,12,4624,25,0,0,0,1,0,0,1,0,0,0,0
Ultraviolet: Code 044,5.93,TV,12,8437,24,0,1,0,0,0,0,0,0,0,1,0
Vie Durant,4.88,ONA,8,10710,8,1,0,0,0,0,0,0,0,0,0,1
Bonobono (TV),6.71,TV,48,4848,15,0,0,0,0,1,1,0,0,0,0,0
Futari no Joe,6.02,OVA,6,8158,30,1,0,0,0,0,0,0,0,0,0,0
Hokuto no Ken: Toki-den,7.4,OVA,1,1913,57,0,1,0,0,0,0,0,0,0,0,0
Nanami-chan 2nd Series,6.31,TV,16,6837,5,0,0,0,0,1,0,0,0,0,0,0
Nanami-chan 3rd Series,6.11,TV,16,7783,5,0,0,0,0,1,0,0,0,0,0,0
Ryuu Seiki,5.67,OVA,2,9216,30,0,1,0,0,0,0,0,0,0,0,0
Lupin III: Green vs. Red,6.62,OVA,1,5306,NA,1,0,0,0,0,0,0,0,0,0,0
Penguin no Mondai,5.88,TV,100,8596,10,0,0,0,0,1,1,0,0,0,0,0
Seigi wo Aisuru Mono Gekkou Kamen,6.63,TV,39,5259,25,1,0,0,0,0,0,0,0,0,0,0
Heroman,6.84,TV,26,4279,24,0,0,1,0,0,0,0,0,0,0,1
Ashita e Attack!,6.4,TV,23,6378,24,1,0,0,0,0,0,0,0,0,0,1
Gakuen Heaven: Hamu Hamu Heaven,6.71,Special,12,4851,1,1,0,0,0,0,0,1,0,0,0,0
Grenadier: Hohoemi no Senshi Specials,6.5,Special,6,5888,1,1,0,0,0,0,1,0,0,0,0,0
Fireball,6.68,TV,13,4993,1,0,0,0,0,1,0,0,0,0,0,1
Kyoro-chan,7.23,TV,91,2657,25,0,0,1,0,0,0,0,0,0,1,0
Suzumiya Haruhi no Yuuutsu (2009),7.23,TV,14,2634,24,1,0,0,0,0,0,1,0,0,0,0
Catman Series III,6.36,TV,6,6600,4,1,0,0,0,0,0,0,0,0,0,0
Amada Anime Series: Super Mario Brothers,4.89,OVA,3,10692,11,0,0,1,0,0,0,0,0,1,0,0
Mirai Robo Daltanias,6.64,TV,47,5203,24,1,0,0,0,0,0,0,0,0,0,1
World Destruction: Sekai Bokumetsu no Rokunin,6.98,TV,13,3728,25,1,0,0,0,0,0,0,0,1,0,0
Yuusha-Ou GaoGaiGar Final Grand Glorious Gathering,7.46,TV,12,1723,24,1,0,0,0,0,0,0,0,0,0,0
Hennako-chan,6.51,ONA,6,14381,3,0,0,0,0,0,0,0,0,0,0,0
Catman Series II,6.26,ONA,8,7063,4,1,0,0,0,0,0,0,0,0,0,0
Catman,6.08,ONA,7,7883,3,1,0,0,0,0,0,0,0,0,0,0
Vampiyan Kids: Pilot,6.09,Special,1,7837,18,0,0,0,0,1,0,0,0,0,0,1
Moetan Specials,6.5,Special,2,5894,24,0,0,0,1,0,0,0,0,0,0,0
Tatakae!! Ramenman,6.39,TV,35,6441,23,0,1,0,0,0,0,0,0,0,0,0
Kurenai Sanshirou,6.46,TV,26,6099,25,1,0,0,0,0,1,0,0,0,0,0
Sugata Sanshirou,6.51,Special,1,12264,NA,1,0,0,0,0,0,0,0,0,0,0
Duel Masters Charge,6.19,TV,52,7381,21,1,0,0,0,0,0,0,0,0,0,1
Zero Duel Masters,6.02,TV,12,8163,23,1,0,0,0,0,0,0,0,0,0,1
Chrno Crusade: Az demo Wakaru Chrno Crusade Kouza,6.55,Special,11,5633,3,1,0,0,0,0,1,0,0,0,0,0
Tanin no Kankei,6.12,OVA,2,7703,45,0,0,0,1,0,1,0,0,0,0,0
Hoshikuzu Paradise,5.53,OVA,1,9618,40,1,0,0,0,0,0,0,0,0,0,0
Macross F: Close Encounter - Deculture Edition,7.72,Special,1,980,27,1,0,0,0,0,0,0,0,0,0,1
Bavel no Hon,5.62,Special,1,9371,5,0,0,0,0,1,0,0,0,0,0,0
Ojarumaru,6.37,TV,NA,6531,10,0,0,0,0,1,0,0,0,0,0,1
Kikumana,5.78,ONA,1,8919,6,1,0,0,0,0,0,0,0,0,0,1
Nagagutsu wo Haita Neko no Bouken,6.61,TV,26,5323,25,0,0,0,0,1,0,0,0,0,0,0
.hack//G.U. Trilogy: Parody Mode,6.44,Special,1,6212,6,1,0,0,0,0,0,0,0,1,0,0
Gene Diver,6.51,TV,56,14105,15,0,0,1,0,0,0,0,0,0,0,1
Lucky☆Star: Original na Visual to Animation,7.82,OVA,1,795,42,1,0,0,0,0,1,0,0,0,0,0
Gensoumaden Saiyuuki: Kibou no Zaika,6.98,OVA,1,3700,46,1,0,0,0,0,1,0,0,0,0,0
Nodame Cantabile: Paris-hen,8.17,TV,11,340,23,1,0,0,0,0,1,0,0,0,0,0
Mahoutsukai ni Taisetsu na Koto: Natsu no Sora,7.29,TV,12,2401,23,0,0,0,0,1,1,0,0,0,0,0
"Umi no Yami, Tsuki no Kage",6.01,OVA,3,8176,30,0,1,0,0,0,1,0,0,0,0,0
Kasei Yakyoku,6.71,OVA,4,4852,28,0,0,0,1,0,1,0,0,0,0,0
Getter Robo G,6.53,TV,39,5748,24,1,0,0,0,0,1,0,0,0,0,0
Choujikuu Kidan Southern Cross,6.58,TV,23,5471,23,0,0,0,1,0,0,0,0,0,0,1
Kinkyuu Hasshin Saver Kids,6.5,TV,50,5918,25,1,0,0,0,0,0,0,0,0,0,1
D.C.S.S: Da Capo Second Season Omake,6.62,Special,2,5290,7,1,0,0,0,0,0,1,0,0,0,0
Captain Future: Kareinaru Taiyokei Race,6.02,Special,1,8132,58,1,0,0,0,0,0,0,0,0,0,0
Hoero! Bun Bun,6.36,TV,39,6593,23,0,0,0,0,1,0,0,0,0,0,0
Seton Doubutsuki: Kuma no Ko Jacky,6.7,TV,26,4920,24,0,0,0,0,1,0,0,0,0,0,0
Seton Doubutsuki: Risu no Banner,6.56,TV,26,5583,23,0,0,0,0,1,0,0,0,0,0,0
Watt Poe to Bokura no Ohanashi,6.11,OVA,1,7747,54,0,0,1,0,0,0,0,0,0,0,0
Bounty Hunter: The Hard,5.79,OVA,1,8867,48,0,0,0,1,0,1,0,0,0,0,0
Dark Cat,3.38,OVA,1,11048,50,0,1,0,0,0,1,0,0,0,0,0
Taiyou no Yuusha Fighbird,6.69,TV,48,4944,23,0,0,0,0,1,0,0,0,0,0,0
Uchuu Kazoku Carlvinson,6.46,OVA,1,6129,45,1,0,0,0,0,1,0,0,0,0,0
Choujin Locke: Shinsekai Sentai,5.98,OVA,2,8283,50,1,0,0,0,0,1,0,0,0,0,0
Candy Boy: Nonchalant Talk of the Certain Twin Sisters in Daily Life,6.87,ONA,7,4135,15,1,0,0,0,0,0,0,0,0,0,1
Muteki Robo Trider G7,6.42,TV,50,6319,24,0,0,0,0,1,0,0,0,0,0,1
Yagami-kun no Katei no Jijou,6.18,OVA,3,7470,30,1,0,0,0,0,1,0,0,0,0,0
Gundam: Mission to the Rise,5.58,Special,1,9467,2,1,0,0,0,0,0,0,0,0,0,0
RoboDz,6.51,TV,26,11730,5,0,0,1,0,0,0,0,0,0,0,0
Yozakura Quartet,6.84,TV,12,4291,24,1,0,0,0,0,1,0,0,0,0,0
Hokuto no Ken: Raoh Gaiden Ten no Haoh,7.14,TV,13,3046,24,0,1,0,0,0,1,0,0,0,0,0
Hyakko,7.26,TV,13,2525,24,1,0,0,0,0,1,0,0,0,0,0
Hakushaku to Yousei,7.28,TV,12,2423,25,1,0,0,0,0,0,1,0,0,0,0
Sukima no Kuni no Polta,5.89,TV,13,8546,5,0,0,0,0,1,0,0,0,0,0,0
Dokkiri Doctor,6.56,TV,26,5563,25,1,0,0,0,0,1,0,0,0,0,0
Bakukyuu Hit! Crash B-Daman,6.01,TV,50,8179,23,0,0,1,0,0,0,0,0,0,0,0
Prism Ark Specials,6.14,Special,6,7614,4,1,0,0,0,0,0,0,0,0,0,0
Saikyou Robot Daiouja,6.51,TV,50,11762,24,1,0,0,0,0,0,0,0,0,0,1
Time Bokan Oudou Fukko,6.11,OVA,2,7775,30,0,0,0,1,0,0,0,0,0,0,0
Shikabane Hime: Aka,7.24,TV,13,2613,24,0,1,0,0,0,1,0,0,0,0,0
Topo Gigio,6.2,TV,21,7333,26,0,0,1,0,0,0,0,0,0,0,0
Daisuki! BuBu ChaCha,7.11,TV,26,3159,25,0,0,0,0,1,0,0,0,0,0,1
Yoiko,6.3,TV,20,6907,12,0,0,0,1,0,1,0,0,0,0,0
Code Geass: Hangyaku no Lelouch Special Edition - Black Rebellion,7.62,OVA,1,1210,NA,0,1,0,0,0,0,0,0,0,0,1
Kouya no Shounen Isamu,6.28,TV,52,7003,24,0,0,0,0,1,0,0,0,0,0,0
Urikupen Kyuujo-tai,6.51,TV,156,12733,5,0,0,0,0,1,0,0,0,0,0,1
Tanoshii Willow Town,6.24,TV,26,7168,23,0,0,1,0,0,0,1,0,0,0,0
Moero Arthur: Hakuba no Ouji,6.18,TV,22,7464,24,1,0,0,0,0,0,0,0,0,0,0
Yama Nezumi Rocky Chuck,6.1,TV,52,7842,26,0,0,0,0,1,0,0,0,0,0,0
Yumemiru Topo Gigio,6.06,TV,13,8009,26,0,0,1,0,0,0,0,0,0,0,0
Nana Toshi Monogatari: Hokkyokukai Sensen,6.25,OVA,2,7124,29,1,0,0,0,0,0,1,0,0,0,0
RideBack,7.29,TV,12,2405,24,1,0,0,0,0,1,0,0,0,0,0
Gosenzo-sama Banbanzai!,7.28,OVA,6,2411,30,0,1,0,0,0,0,0,0,0,0,1
Cobra The Animation: The Psycho-Gun,6.93,OVA,4,3891,30,1,0,0,0,0,1,0,0,0,0,0
Seihou Bukyou Outlaw Star Pilot,6.94,Special,1,3859,1,0,0,0,1,0,1,0,0,0,0,0
Yume no Crayon Oukoku,6.92,TV,70,3931,24,0,0,0,0,1,0,1,0,0,0,0
Toaru Majutsu no Index,7.44,TV,24,1764,23,0,1,0,0,0,0,1,0,0,0,0
Arad Senki: Slap Up Party,6.75,TV,26,4677,25,1,0,0,0,0,0,0,0,1,0,0
Yoshino no Hime,5.84,ONA,1,8722,8,0,0,0,0,1,0,0,0,0,0,1
Neo Angelique Abyss: Second Age,7.04,TV,13,3498,25,1,0,0,0,0,0,1,0,0,0,0
Tekken Chinmi,7.27,TV,20,2469,24,1,0,0,0,0,1,0,0,0,0,0
Rurouni Kenshin: Special Techniques,7.25,Special,1,2579,25,1,0,0,0,0,1,0,0,0,0,0
B-Legend! Battle B-Daman Fire Spirits!,6.37,TV,51,6560,23,0,0,1,0,0,0,0,0,0,0,0
Bocchan,6.17,Special,1,7483,NA,1,0,0,0,0,0,1,0,0,0,0
Scarecrowman,6.51,TV,26,11851,25,0,0,0,0,1,0,0,0,0,0,1
Takane no Jitensha,6.04,Special,1,8066,24,0,0,0,0,1,0,0,0,0,0,0
Minna Agechau♡,5.83,OVA,1,8747,45,0,0,0,1,0,0,0,0,0,0,0
Cyborg 009 (1979),7.17,TV,50,2886,24,1,0,0,0,0,1,0,0,0,0,0
Dochinpira,5.14,OVA,1,NA,45,0,0,0,1,0,0,0,0,0,0,0
Aesop's World,5.82,TV,26,8764,11,0,0,0,0,1,0,0,0,0,0,0
Digimon Savers: Agumon! Gaomon! Lalamon! Bakuretsu! Jougai Last Battle!,6.59,Special,1,5442,23,0,0,1,0,0,0,0,0,0,0,1
Shigofumi: Sore kara,7.36,Special,1,2078,24,1,0,0,0,0,0,0,0,0,0,1
AIKa: Special Trial,5.67,Special,1,9245,10,0,0,0,1,0,0,0,0,0,0,1
Queen's Blade: Rurou no Senshi,6.18,TV,12,7462,24,0,0,0,1,0,0,0,0,0,1,0
White Album,6.55,TV,13,5650,25,1,0,0,0,0,0,1,0,0,0,0
Skip Beat!,8.13,TV,25,381,24,1,0,0,0,0,1,0,0,0,0,0
Seishun Anime Zenshuu,6.5,TV,32,5905,26,0,0,0,1,0,0,0,0,0,1,0
Ga-Rei: Zero,7.64,TV,12,1180,23,0,1,0,0,0,1,0,0,0,0,0
Druaga no Tou: The Sword of Uruk,7.24,TV,12,2596,24,1,0,0,0,0,0,0,0,1,0,0
Himitsukessha Taka no Tsume,6.13,TV,11,7670,11,1,0,0,0,0,0,0,0,0,0,1
Papa to Odorou,6.71,TV,16,4832,6,1,0,0,0,0,0,0,0,0,0,0
Akaneiro ni Somaru Saka,6.47,TV,12,6051,25,0,0,0,1,0,0,1,0,0,0,0
Vampire Knight: Guilty,7.22,TV,13,2706,24,1,0,0,0,0,1,0,0,0,0,0
Hello Harinezumi: Satsui no Ryoubun,6.45,OVA,1,6188,51,0,0,0,1,0,1,0,0,0,0,0
Kanokon Specials,6.44,Special,12,6221,2,0,0,0,1,0,0,0,0,0,0,0
Gunslinger Girl: Il Teatrino OVA,7.01,OVA,2,3621,23,1,0,0,0,0,1,0,0,0,0,0
Aria the Origination: Sono Choppiri Himitsu no Basho ni...,8.02,Special,1,512,24,0,0,0,0,1,0,0,0,0,0,0
Yamato Takeru,6.78,TV,37,4557,24,1,0,0,0,0,0,0,0,0,0,1
Mama wa Poyopoyo Saurus ga Osuki,6.57,TV,52,5544,23,0,0,0,0,1,1,0,0,0,0,0
Kodomo no Jikan Recap,6.92,OVA,1,3937,NA,0,1,0,0,0,1,0,0,0,0,0
ef: A Tale of Melodies.,8.04,TV,12,486,24,1,0,0,0,0,0,1,0,0,0,0
Druaga no Tou: The Aegis of Uruk - Jil no Bouken,7.14,Special,1,3024,24,1,0,0,0,0,0,0,0,1,0,0
Huckleberry Finn Monogatari,6.51,TV,26,5861,20,0,0,0,0,0,0,1,0,0,0,0
Suhoyojeong Michel,6.39,TV,26,6474,25,0,0,1,0,0,0,0,0,0,0,0
To Heart 2 AD Plus,6.75,OVA,2,4670,30,1,0,0,0,0,0,1,0,0,0,0
Mashin Eiyuuden Wataru 2,6.78,TV,46,4537,24,0,0,0,0,1,0,0,0,0,0,0
Hurricane Polymar,6.54,TV,26,5674,25,1,0,0,0,0,0,0,0,0,0,1
Shinzou Ningen Casshern,6.7,TV,35,4922,25,1,0,0,0,0,0,0,0,0,0,1
Ichigo Mashimaro Encore,7.7,OVA,2,1036,27,1,0,0,0,0,1,0,0,0,0,0
Junjou Romantica 2,7.85,TV,12,742,24,1,0,0,0,0,1,0,0,0,0,0
Youkai Ningen Bem (2006),5.87,TV,26,8631,25,1,0,0,0,0,0,0,0,0,0,0
_Summer Specials,5.36,Special,2,10021,4,1,0,0,0,0,0,1,0,0,0,0
Lupin III: Seven Days Rhapsody,7.03,Special,1,3547,NA,1,0,0,0,0,0,0,0,0,0,0
Tezuka Osamu no Don Dracula,6.13,TV,8,7652,23,0,0,0,1,0,1,0,0,0,0,0
